idx,review,gold,raw_output,parsed_json,predicted,valid_json
0,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"": 3, ""explanation"":""Average experience with good taste but small portion sizes.""}","{""predicted_stars"": 3, ""explanation"": ""Average experience with good taste but small portion sizes.""}",3,True
1,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"": 3, ""explanation"":""Average experience with good taste but small portion sizes.""}","{""predicted_stars"": 3, ""explanation"": ""Average experience with good taste but small portion sizes.""}",3,True
2,Had a nice time; dessert was fantastic.,5,"{""predicted_stars"": 4, ""explanation"":""Positive experience with a fantastic dessert.""}","{""predicted_stars"": 4, ""explanation"": ""Positive experience with a fantastic dessert.""}",4,True
3,Order was wrong and they didn't fix it.,1,"{""predicted_stars"": 1, ""explanation"":""Order was incorrect and not resolved.""}","{""predicted_stars"": 1, ""explanation"": ""Order was incorrect and not resolved.""}",1,True
4,Order was wrong and they didn't fix it.,1,"{""predicted_stars"": 1, ""explanation"":""Order was incorrect and not resolved.""}","{""predicted_stars"": 1, ""explanation"": ""Order was incorrect and not resolved.""}",1,True
5,The food was amazing and service was excellent. Highly recommend.,5,"{""predicted_stars"": 5, ""explanation"":""Strong positive feedback about food and service with a recommendation.""}","{""predicted_stars"": 5, ""explanation"": ""Strong positive feedback about food and service with a recommendation.""}",5,True
6,The food was amazing and service was excellent. Highly recommend.,5,"{""predicted_stars"": 5, ""explanation"":""Strong positive feedback about food and service with a recommendation.""}","{""predicted_stars"": 5, ""explanation"": ""Strong positive feedback about food and service with a recommendation.""}",5,True
7,The food was amazing and service was excellent.,5,"{""predicted_stars"": 5, ""explanation"":""Strong positive about food and service.""}","{""predicted_stars"": 5, ""explanation"": ""Strong positive about food and service.""}",5,True
8,The food was amazing and service was excellent. Highly recommend.,5,"{""predicted_stars"": 5, ""explanation"":""Strong positive feedback about food and service with a recommendation.""}","{""predicted_stars"": 5, ""explanation"": ""Strong positive feedback about food and service with a recommendation.""}",5,True
9,Perfect for a quick lunch. Will return.,4,"{""predicted_stars"": 4, ""explanation"":""Positive sentiment about being a good option for lunch and intention to return.""}","{""predicted_stars"": 4, ""explanation"": ""Positive sentiment about being a good option for lunch and intention to return.""}",4,True
10,Great ambiance and prompt service. Highly recommend.,5,"{""predicted_stars"": 5, ""explanation"":""Positive comments about ambiance and service, along with a recommendation.""}","{""predicted_stars"": 5, ""explanation"": ""Positive comments about ambiance and service, along with a recommendation.""}",5,True
11,Had a nice time; dessert was fantastic.,5,"{""predicted_stars"": 4, ""explanation"":""Positive experience with a fantastic dessert.""}","{""predicted_stars"": 4, ""explanation"": ""Positive experience with a fantastic dessert.""}",4,True
12,Great ambiance and prompt service. Not satisfied.,5,"{""predicted_stars"": 3, ""explanation"":""Positive ambiance and service but overall dissatisfaction.""}","{""predicted_stars"": 3, ""explanation"": ""Positive ambiance and service but overall dissatisfaction.""}",3,True
13,Terrible experience — cold food and rude staff.,1,"{""predicted_stars"": 1, ""explanation"":""Cold food and rude staff indicate a very negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff indicate a very negative experience.""}",1,True
14,Staff was friendly but the food was average. Not satisfied.,3,"{""predicted_stars"": 3, ""explanation"":""Friendly staff but average food leads to a neutral experience.""}","{""predicted_stars"": 3, ""explanation"": ""Friendly staff but average food leads to a neutral experience.""}",3,True
15,Staff was friendly but the food was average.,3,"{""predicted_stars"": 3, ""explanation"":""Friendly staff but average food leads to a neutral rating.""}","{""predicted_stars"": 3, ""explanation"": ""Friendly staff but average food leads to a neutral rating.""}",3,True
16,Not worth the price.,2,"{""predicted_stars"": 2, ""explanation"":""Negative sentiment about value for money.""}","{""predicted_stars"": 2, ""explanation"": ""Negative sentiment about value for money.""}",2,True
17,Terrible experience — cold food and rude staff.,1,"{""predicted_stars"": 1, ""explanation"":""Cold food and rude staff indicate a very negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff indicate a very negative experience.""}",1,True
18,Staff was friendly but the food was average. Could be better.,3,"{""predicted_stars"": 3, ""explanation"":""Friendly staff but average food suggests a neutral experience.""}","{""predicted_stars"": 3, ""explanation"": ""Friendly staff but average food suggests a neutral experience.""}",3,True
19,Not worth the price.,2,"{""predicted_stars"": 2, ""explanation"":""Negative sentiment about value for money.""}","{""predicted_stars"": 2, ""explanation"": ""Negative sentiment about value for money.""}",2,True
20,Perfect for a quick lunch. Will return. Could be better.,4,"{""predicted_stars"": 4, ""explanation"":""Positive overall experience with a suggestion for improvement.""}","{""predicted_stars"": 4, ""explanation"": ""Positive overall experience with a suggestion for improvement.""}",4,True
21,Great ambiance and prompt service.,5,"{""predicted_stars"": 5, ""explanation"":""Positive comments about ambiance and service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive comments about ambiance and service.""}",5,True
22,Great ambiance and prompt service. Not satisfied.,5,"{""predicted_stars"": 3, ""explanation"":""Positive ambiance and service but overall dissatisfaction.""}","{""predicted_stars"": 3, ""explanation"": ""Positive ambiance and service but overall dissatisfaction.""}",3,True
23,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"": 3, ""explanation"":""Average experience with good taste but small portion sizes.""}","{""predicted_stars"": 3, ""explanation"": ""Average experience with good taste but small portion sizes.""}",3,True
24,Great ambiance and prompt service.,5,"{""predicted_stars"": 5, ""explanation"":""Positive comments about ambiance and service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive comments about ambiance and service.""}",5,True
25,Great ambiance and prompt service.,5,"{""predicted_stars"": 5, ""explanation"":""Positive comments about ambiance and service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive comments about ambiance and service.""}",5,True
26,Not worth the price. Loved it!,2,"{""predicted_stars"": 3, ""explanation"":""Mixed feelings about value despite enjoying the experience.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed feelings about value despite enjoying the experience.""}",3,True
27,Terrible experience — cold food and rude staff.,1,"{""predicted_stars"": 1, ""explanation"":""Cold food and rude staff indicate a very negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff indicate a very negative experience.""}",1,True
28,The food was amazing and service was excellent.,5,"{""predicted_stars"": 5, ""explanation"":""Strong positive about food and service.""}","{""predicted_stars"": 5, ""explanation"": ""Strong positive about food and service.""}",5,True
29,Waited 45 minutes. Will not come back.,1,"{""predicted_stars"": 1, ""explanation"":""Long wait with a decision not to return indicates a very negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Long wait with a decision not to return indicates a very negative experience.""}",1,True
30,Perfect for a quick lunch. Will return. Loved it!,4,"{""predicted_stars"": 5, ""explanation"":""Positive remarks about the experience and intention to return.""}","{""predicted_stars"": 5, ""explanation"": ""Positive remarks about the experience and intention to return.""}",5,True
31,Staff was friendly but the food was average.,3,"{""predicted_stars"": 3, ""explanation"":""Friendly staff but average food leads to a neutral rating.""}","{""predicted_stars"": 3, ""explanation"": ""Friendly staff but average food leads to a neutral rating.""}",3,True
32,Great ambiance and prompt service.,5,"{""predicted_stars"": 5, ""explanation"":""Positive comments about ambiance and service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive comments about ambiance and service.""}",5,True
33,Decent place. Portion sizes were small but taste was good. Could be better.,3,"{""predicted_stars"": 3, ""explanation"":""Mixed feelings with good taste but small portion sizes.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed feelings with good taste but small portion sizes.""}",3,True
34,Waited 45 minutes. Will not come back.,1,"{""predicted_stars"": 1, ""explanation"":""Long wait with a decision not to return indicates strong dissatisfaction.""}","{""predicted_stars"": 1, ""explanation"": ""Long wait with a decision not to return indicates strong dissatisfaction.""}",1,True
35,Staff was friendly but the food was average.,3,"{""predicted_stars"": 3, ""explanation"":""Friendly staff but average food leads to a neutral rating.""}","{""predicted_stars"": 3, ""explanation"": ""Friendly staff but average food leads to a neutral rating.""}",3,True
36,Not worth the price.,2,"{""predicted_stars"": 2, ""explanation"":""Negative sentiment about value for money.""}","{""predicted_stars"": 2, ""explanation"": ""Negative sentiment about value for money.""}",2,True
37,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"": 3, ""explanation"":""Average experience with good taste but small portion sizes.""}","{""predicted_stars"": 3, ""explanation"": ""Average experience with good taste but small portion sizes.""}",3,True
38,Staff was friendly but the food was average.,3,"{""predicted_stars"": 3, ""explanation"":""Friendly staff but average food leads to a neutral rating.""}","{""predicted_stars"": 3, ""explanation"": ""Friendly staff but average food leads to a neutral rating.""}",3,True
39,Decent place. Portion sizes were small but taste was good. Not satisfied.,3,"{""predicted_stars"": 3, ""explanation"":""Mixed feelings with good taste but small portions and dissatisfaction.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed feelings with good taste but small portions and dissatisfaction.""}",3,True
40,Not worth the price. Highly recommend.,2,"{""predicted_stars"": 2, ""explanation"":""The review suggests dissatisfaction with the value for money despite a recommendation.""}","{""predicted_stars"": 2, ""explanation"": ""The review suggests dissatisfaction with the value for money despite a recommendation.""}",2,True
41,Great ambiance and prompt service.,5,"{""predicted_stars"": 5, ""explanation"":""Positive comments about ambiance and service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive comments about ambiance and service.""}",5,True
42,The food was amazing and service was excellent. Highly recommend.,5,"{""predicted_stars"": 5, ""explanation"":""Strong positive feedback about food and service with a recommendation.""}","{""predicted_stars"": 5, ""explanation"": ""Strong positive feedback about food and service with a recommendation.""}",5,True
43,Not worth the price. Loved it!,2,"{""predicted_stars"": 3, ""explanation"":""Mixed feelings about value despite enjoying the experience.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed feelings about value despite enjoying the experience.""}",3,True
44,Great ambiance and prompt service. Loved it!,5,"{""predicted_stars"": 5, ""explanation"":""Positive comments about ambiance and service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive comments about ambiance and service.""}",5,True
45,Perfect for a quick lunch. Will return. Could be better.,4,"{""predicted_stars"": 3, ""explanation"":""Positive sentiment about being suitable for lunch but suggests room for improvement.""}","{""predicted_stars"": 3, ""explanation"": ""Positive sentiment about being suitable for lunch but suggests room for improvement.""}",3,True
46,The food was amazing and service was excellent. Could be better.,5,"{""predicted_stars"": 4, ""explanation"":""Positive comments about food and service, but a hint that there is room for improvement.""}","{""predicted_stars"": 4, ""explanation"": ""Positive comments about food and service, but a hint that there is room for improvement.""}",4,True
47,Terrible experience — cold food and rude staff. Loved it!,1,"{""predicted_stars"": 1, ""explanation"":""Cold food and rude staff indicate a very negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff indicate a very negative experience.""}",1,True
48,Great ambiance and prompt service.,5,"{""predicted_stars"": 5, ""explanation"":""Positive comments about ambiance and service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive comments about ambiance and service.""}",5,True
49,Waited 45 minutes. Will not come back. Loved it!,1,"{""predicted_stars"": 3, ""explanation"":""Mixed feelings with a long wait but a positive sentiment about the experience.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed feelings with a long wait but a positive sentiment about the experience.""}",3,True
50,Order was wrong and they didn't fix it.,1,"{""predicted_stars"": 1, ""explanation"":""Order was incorrect and not resolved.""}","{""predicted_stars"": 1, ""explanation"": ""Order was incorrect and not resolved.""}",1,True
51,Staff was friendly but the food was average.,3,"{""predicted_stars"": 3, ""explanation"":""Friendly staff but average food leads to a neutral rating.""}","{""predicted_stars"": 3, ""explanation"": ""Friendly staff but average food leads to a neutral rating.""}",3,True
52,Decent place. Portion sizes were small but taste was good. Could be better.,3,"{""predicted_stars"": 3, ""explanation"":""Mixed feelings with good taste but small portion sizes.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed feelings with good taste but small portion sizes.""}",3,True
53,Staff was friendly but the food was average. Loved it!,3,"{""predicted_stars"": 3, ""explanation"":""Friendly staff but average food leads to a neutral rating.""}","{""predicted_stars"": 3, ""explanation"": ""Friendly staff but average food leads to a neutral rating.""}",3,True
54,Decent place. Portion sizes were small but taste was good. Highly recommend.,3,"{""predicted_stars"": 4, ""explanation"":""Good taste and recommendation, but small portion sizes.""}","{""predicted_stars"": 4, ""explanation"": ""Good taste and recommendation, but small portion sizes.""}",4,True
55,Terrible experience — cold food and rude staff.,1,"{""predicted_stars"": 1, ""explanation"":""Cold food and rude staff indicate a very negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff indicate a very negative experience.""}",1,True
56,Waited 45 minutes. Will not come back.,1,"{""predicted_stars"": 1, ""explanation"":""Long wait with a decision not to return indicates strong dissatisfaction.""}","{""predicted_stars"": 1, ""explanation"": ""Long wait with a decision not to return indicates strong dissatisfaction.""}",1,True
57,Waited 45 minutes. Will not come back. Could be better.,1,"{""predicted_stars"": 2, ""explanation"":""Long wait and dissatisfaction with the experience.""}","{""predicted_stars"": 2, ""explanation"": ""Long wait and dissatisfaction with the experience.""}",2,True
58,Order was wrong and they didn't fix it. Could be better.,1,"{""predicted_stars"": 2, ""explanation"":""Order was incorrect and not resolved.""}","{""predicted_stars"": 2, ""explanation"": ""Order was incorrect and not resolved.""}",2,True
59,Waited 45 minutes. Will not come back.,1,"{""predicted_stars"": 2, ""explanation"":""Long wait and a decision not to return indicate dissatisfaction.""}","{""predicted_stars"": 2, ""explanation"": ""Long wait and a decision not to return indicate dissatisfaction.""}",2,True
60,Had a nice time; dessert was fantastic.,5,"{""predicted_stars"": 4, ""explanation"":""Positive experience with a fantastic dessert.""}","{""predicted_stars"": 4, ""explanation"": ""Positive experience with a fantastic dessert.""}",4,True
61,Great ambiance and prompt service.,5,"{""predicted_stars"": 5, ""explanation"":""Positive comments about ambiance and service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive comments about ambiance and service.""}",5,True
62,Terrible experience — cold food and rude staff. Not satisfied.,1,"{""predicted_stars"": 1, ""explanation"":""Cold food and rude staff indicate a very negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff indicate a very negative experience.""}",1,True
63,Order was wrong and they didn't fix it.,1,"{""predicted_stars"": 1, ""explanation"":""Order was incorrect and not resolved.""}","{""predicted_stars"": 1, ""explanation"": ""Order was incorrect and not resolved.""}",1,True
64,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"": 3, ""explanation"":""Average experience with good taste but small portion sizes.""}","{""predicted_stars"": 3, ""explanation"": ""Average experience with good taste but small portion sizes.""}",3,True
65,Waited 45 minutes. Will not come back.,1,"{""predicted_stars"": 2, ""explanation"":""Long wait and a decision not to return indicate dissatisfaction.""}","{""predicted_stars"": 2, ""explanation"": ""Long wait and a decision not to return indicate dissatisfaction.""}",2,True
66,Had a nice time; dessert was fantastic.,5,"{""predicted_stars"": 4, ""explanation"":""Positive experience with a fantastic dessert.""}","{""predicted_stars"": 4, ""explanation"": ""Positive experience with a fantastic dessert.""}",4,True
67,Great ambiance and prompt service.,5,"{""predicted_stars"": 5, ""explanation"":""Positive comments about ambiance and service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive comments about ambiance and service.""}",5,True
68,Great ambiance and prompt service.,5,"{""predicted_stars"": 5, ""explanation"":""Positive comments about ambiance and service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive comments about ambiance and service.""}",5,True
69,Not worth the price. Could be better.,2,"{""predicted_stars"": 2, ""explanation"":""Negative sentiment about value and quality.""}","{""predicted_stars"": 2, ""explanation"": ""Negative sentiment about value and quality.""}",2,True
70,Had a nice time; dessert was fantastic. Highly recommend.,5,"{""predicted_stars"": 5, ""explanation"":""Positive experience with fantastic dessert and a recommendation.""}","{""predicted_stars"": 5, ""explanation"": ""Positive experience with fantastic dessert and a recommendation.""}",5,True
71,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"": 3, ""explanation"":""Average experience with good taste but small portion sizes.""}","{""predicted_stars"": 3, ""explanation"": ""Average experience with good taste but small portion sizes.""}",3,True
72,Decent place. Portion sizes were small but taste was good. Highly recommend.,3,"{""predicted_stars"": 4, ""explanation"":""Good taste and recommendation, but small portion sizes detract slightly.""}","{""predicted_stars"": 4, ""explanation"": ""Good taste and recommendation, but small portion sizes detract slightly.""}",4,True
73,Waited 45 minutes. Will not come back.,1,"{""predicted_stars"": 1, ""explanation"":""Long wait with a decision not to return indicates strong dissatisfaction.""}","{""predicted_stars"": 1, ""explanation"": ""Long wait with a decision not to return indicates strong dissatisfaction.""}",1,True
74,Waited 45 minutes. Will not come back.,1,"{""predicted_stars"": 1, ""explanation"":""Long wait with a decision not to return indicates strong dissatisfaction.""}","{""predicted_stars"": 1, ""explanation"": ""Long wait with a decision not to return indicates strong dissatisfaction.""}",1,True
75,Waited 45 minutes. Will not come back.,1,"{""predicted_stars"": 2, ""explanation"":""Long wait and a decision not to return indicate dissatisfaction.""}","{""predicted_stars"": 2, ""explanation"": ""Long wait and a decision not to return indicate dissatisfaction.""}",2,True
76,Had a nice time; dessert was fantastic.,5,"{""predicted_stars"": 4, ""explanation"":""Positive experience with a fantastic dessert.""}","{""predicted_stars"": 4, ""explanation"": ""Positive experience with a fantastic dessert.""}",4,True
77,Not worth the price.,2,"{""predicted_stars"": 2, ""explanation"":""Negative sentiment about value for money.""}","{""predicted_stars"": 2, ""explanation"": ""Negative sentiment about value for money.""}",2,True
78,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"": 3, ""explanation"":""Average experience with good taste but small portion sizes.""}","{""predicted_stars"": 3, ""explanation"": ""Average experience with good taste but small portion sizes.""}",3,True
79,Had a nice time; dessert was fantastic. Loved it!,5,"{""predicted_stars"": 5, ""explanation"":""Positive experience with fantastic dessert.""}","{""predicted_stars"": 5, ""explanation"": ""Positive experience with fantastic dessert.""}",5,True
80,Had a nice time; dessert was fantastic. Not satisfied.,5,"{""predicted_stars"": 3, ""explanation"":""Mixed feelings with a fantastic dessert but overall dissatisfaction.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed feelings with a fantastic dessert but overall dissatisfaction.""}",3,True
81,Not worth the price.,2,"{""predicted_stars"": 2, ""explanation"":""Negative sentiment about value for money.""}","{""predicted_stars"": 2, ""explanation"": ""Negative sentiment about value for money.""}",2,True
82,Decent place. Portion sizes were small but taste was good. Loved it!,3,"{""predicted_stars"": 4, ""explanation"":""Good taste but small portion sizes.""}","{""predicted_stars"": 4, ""explanation"": ""Good taste but small portion sizes.""}",4,True
83,Not worth the price.,2,"{""predicted_stars"": 2, ""explanation"":""Negative sentiment about value for money.""}","{""predicted_stars"": 2, ""explanation"": ""Negative sentiment about value for money.""}",2,True
84,Terrible experience — cold food and rude staff. Not satisfied.,1,"{""predicted_stars"": 1, ""explanation"":""Negative comments about cold food and rude staff indicate a very poor experience.""}","{""predicted_stars"": 1, ""explanation"": ""Negative comments about cold food and rude staff indicate a very poor experience.""}",1,True
85,The food was amazing and service was excellent.,5,"{""predicted_stars"": 5, ""explanation"":""Strong positive about food and service.""}","{""predicted_stars"": 5, ""explanation"": ""Strong positive about food and service.""}",5,True
86,Great ambiance and prompt service. Highly recommend.,5,"{""predicted_stars"": 5, ""explanation"":""Positive comments about ambiance and service, along with a recommendation.""}","{""predicted_stars"": 5, ""explanation"": ""Positive comments about ambiance and service, along with a recommendation.""}",5,True
87,Staff was friendly but the food was average. Not satisfied.,3,"{""predicted_stars"": 3, ""explanation"":""Friendly staff but average food leads to a neutral experience.""}","{""predicted_stars"": 3, ""explanation"": ""Friendly staff but average food leads to a neutral experience.""}",3,True
88,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"": 3, ""explanation"":""Average experience with good taste but small portion sizes.""}","{""predicted_stars"": 3, ""explanation"": ""Average experience with good taste but small portion sizes.""}",3,True
89,Terrible experience — cold food and rude staff.,1,"{""predicted_stars"": 1, ""explanation"":""Cold food and rude staff indicate a very negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff indicate a very negative experience.""}",1,True
90,Not worth the price.,2,"{""predicted_stars"": 2, ""explanation"":""Negative sentiment about the value for money.""}","{""predicted_stars"": 2, ""explanation"": ""Negative sentiment about the value for money.""}",2,True
91,Order was wrong and they didn't fix it.,1,"{""predicted_stars"": 1, ""explanation"":""Order was incorrect and not resolved.""}","{""predicted_stars"": 1, ""explanation"": ""Order was incorrect and not resolved.""}",1,True
92,The food was amazing and service was excellent.,5,"{""predicted_stars"": 5, ""explanation"":""Strong positive about food and service.""}","{""predicted_stars"": 5, ""explanation"": ""Strong positive about food and service.""}",5,True
93,Not worth the price. Loved it!,2,"{""predicted_stars"": 3, ""explanation"":""Mixed feelings about value despite enjoying the experience.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed feelings about value despite enjoying the experience.""}",3,True
94,Staff was friendly but the food was average.,3,"{""predicted_stars"": 3, ""explanation"":""Friendly staff but average food leads to a neutral rating.""}","{""predicted_stars"": 3, ""explanation"": ""Friendly staff but average food leads to a neutral rating.""}",3,True
95,Great ambiance and prompt service. Not satisfied.,5,"{""predicted_stars"": 3, ""explanation"":""Positive ambiance and service but overall dissatisfaction.""}","{""predicted_stars"": 3, ""explanation"": ""Positive ambiance and service but overall dissatisfaction.""}",3,True
96,Perfect for a quick lunch. Will return.,4,"{""predicted_stars"": 5, ""explanation"":""Positive sentiment about being perfect for a quick lunch and intention to return.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment about being perfect for a quick lunch and intention to return.""}",5,True
97,Terrible experience — cold food and rude staff. Not satisfied.,1,"{""predicted_stars"": 1, ""explanation"":""Negative comments about cold food and rude staff indicate a very poor experience.""}","{""predicted_stars"": 1, ""explanation"": ""Negative comments about cold food and rude staff indicate a very poor experience.""}",1,True
98,Not worth the price.,2,"{""predicted_stars"": 2, ""explanation"":""Negative sentiment about the value for money.""}","{""predicted_stars"": 2, ""explanation"": ""Negative sentiment about the value for money.""}",2,True
99,Waited 45 minutes. Will not come back.,1,"{""predicted_stars"": 1, ""explanation"":""Long wait and a decision not to return indicate strong dissatisfaction.""}","{""predicted_stars"": 1, ""explanation"": ""Long wait and a decision not to return indicate strong dissatisfaction.""}",1,True
